,brand_aware,brand_consideration,brand_purchase,brand_preference
Adidas,0.92,0.6,0.56,0.26
Converse,0.77,0.35,0.36,0.32
New Balance,0.79,0.49,0.44,0.38
Nike,0.94,0.68,0.71,0.32
Reebok,0.81,0.35,0.35,0.18
