,Q1,Q2,Q3,Q14,region
1958,25,2,44,1,3
1956,22,2,23,1,2
58,67,2,1,1,3
1954,24,2,50,1,2
1953,30,2,43,1,3
1952,34,2,48,1,4
1099,58,1,5,1,4
1100,69,2,5,1,4
995,66,2,14,1,2
993,56,2,5,1,4
67,64,2,7,1,1
1943,20,2,22,1,1
1806,35,1,5,1,4
1824,27,1,29,1,4
941,21,1,25,1,3
1706,34,2,43,1,3
283,47,1,33,1,1
284,67,1,38,1,4
285,32,1,34,1,3
1704,26,2,47,1,3
287,52,1,6,1,4
885,31,2,33,1,1
886,26,2,26,1,2
884,35,2,33,1,1
883,24,4,31,1,1
1699,22,2,47,1,3
882,33,2,22,1,1
1698,38,2,34,1,3
1697,31,2,44,1,3
296,22,1,10,1,3
297,20,2,5,1,4
290,23,2,47,1,3
280,23,2,31,1,1
1707,33,2,21,1,3
1708,34,2,18,1,3
1730,55,2,10,1,3
893,37,2,14,1,2
892,31,2,14,1,2
1724,47,1,44,1,3
1722,57,1,50,1,2
890,31,2,14,1,2
889,30,2,1,1,3
1718,35,2,44,1,3
1717,37,2,10,1,3
1715,32,2,11,1,3
1714,33,2,47,1,3
1804,52,1,5,1,4
273,52,1,33,1,1
274,38,1,44,1,3
275,54,1,33,1,1
1710,35,2,44,1,3
1709,32,2,31,1,1
298,21,2,14,1,2
1696,28,2,44,1,3
300,24,1,34,1,3
1695,28,2,44,1,3
325,26,1,5,1,4
327,31,1,21,1,3
1671,34,2,44,1,3
872,35,2,31,1,1
1669,30,2,44,1,3
332,38,2,31,1,1
1668,34,2,44,1,3
1233,28,2,47,1,3
335,54,2,34,1,3
869,37,2,36,1,2
868,23,2,23,1,2
338,52,1,18,1,3
1665,28,2,44,1,3
340,52,1,18,1,3
867,22,2,17,1,2
866,31,2,22,1,1
343,23,1,48,1,4
1673,23,2,41,1,3
896,26,2,31,1,1
1674,31,2,44,1,3
1675,36,2,10,1,3
1219,66,1,14,1,2
303,62,1,44,1,3
304,65,2,10,1,3
879,24,2,31,1,1
307,62,2,11,1,3
1220,44,2,10,1,3
1690,39,2,11,1,3
1687,25,2,10,1,3
1685,22,2,43,1,3
1684,32,2,44,1,3
1683,32,2,34,1,3
1682,26,2,7,1,1
877,18,2,39,1,1
1681,27,2,34,1,3
1680,32,2,44,1,3
875,37,2,23,1,2
1676,31,2,1,1,3
322,42,2,33,1,1
1737,33,1,5,1,4
1711,29,2,25,1,3
723,37,2,11,1,3
1758,50,1,5,1,4
